app,app_name,responded_and_confirmed_to_have_ended_xmode_sales,platform,active,category,app_store_google,app_store_ios
AussieMingle,Aussie Mingle: Meet Singles ,,android,TRUE,Dating,https://play.google.com/store/apps/details?id=com.mingle.AussieMingle,
DutchCupid,DutchCupid,,android,FALSE,Dating,,
KoreaSingles,KoreaSingles,,android,FALSE,Dating,,
Mingle2,"Mingle2: Dating, Chat & Meet  ",,android,TRUE,Dating,https://play.google.com/store/apps/details?id=mingle.android.mingle2,
NorwayCupid,NorwayCupid,,android,FALSE,Dating,,
PhilippinesSingles,Philippines Singles,,android,FALSE,Dating,,
SouthAfricaSingles,South Africa Singles,,android,FALSE,Dating,,
UKSingles,UK Singles,,android,FALSE,Dating,,
VenezuelaCupid,Venezuela Cupid,,android,FALSE,Dating,,
VietnamSingles,Vietnam Singles,,android,FALSE,Dating,,
com.99centbrains.catwang,CatWang,TRUE,ios,FALSE,Photo or Video,,
com.jnj.mocospace.android,Moco: Chat & Meet New People  ,,android,TRUE,Dating,https://play.google.com/store/apps/details?id=com.jnj.mocospace.android,
com.scissr.scissr,Scissr,,ios,FALSE,Dating,,
com.sad.mimediamanzana,Mi Media Manzana,,android,FALSE,Dating,https://play.google.com/store/apps/details?id=com.sad.mimediamanzana,
com.c10kforpink,10K Trainer by C25K®,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=com.c10kforpink,https://apps.apple.com/gb/app/10k-trainer-by-c25k/id511600311
com.c13_1forpink2,Half Marathon 13.1 Trainer,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=com.c13_1forpink2,https://apps.apple.com/gb/app/half-marathon-13-1-trainer/id514647091
com.c25k,C25K® - 5K Running Trainer,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=com.c25k, 
com.zenlabs.262pro,Marathon 26.2 Trainer by C25K®,,ios,TRUE,Fitness,,https://apps.apple.com/gb/app/marathon-26-2-trainer-by-c25k/id514662686
net.p4p.7mins,P4P 7 Minute Workout,,ios,TRUE,Fitness,,https://apps.apple.com/us/app/p4p-7-minute-workout/id1033157610
net.p4p.absen,Abs Workout - Daily Fitness ,,android,TRUE,Fitness,https://play.google.com/store/apps/details?id=net.p4p.absen,
net.p4p.arms,Arms Workout,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=net.p4p.arms,https://apps.apple.com/us/app/arms-workout/id1108333141
net.p4p.buttocks,Butt workout plan,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=net.p4p.buttocks&hl=en_US&gl=US,https://apps.apple.com/app/id528570179
net.p4p.Chest,Chest Workout & Muscle Booster,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=net.p4p.chest,https://apps.apple.com/us/app/chest-workout-plan/id513715684
net.p4p.legs,Leg workouts - Lower Body,,"ios, android",TRUE,Fitness,https://play.google.com/store/apps/details?id=net.p4p.legs,https://apps.apple.com/us/app/leg-workouts-lower-body/id887893349
